,stop,boardings,alightings
660,Harry S. Truman Dr at Lottsford,299,112
328,Brandywine Road @ Killarney Street,299,42
569,Fisher Rd at Heather Hill,298,327
1138,Sheriff Rd at Harvey Dr,298,353
1235,Temple Hill Rd at Kirbywood St,298,299
76,4205  Suitland Rd,298,396
468,Chillum Rd at 18th Ave - in,296,27
1234,Temple Hill Rd at Henderson Rd,295,310
52,38th St at Allison St,295,127
1160,Southern Ave at C St,295,347
410,Capitol Heights - Arrival,294,6365
305,Bladensburg Rd at 41st Ave,294,191
1171,Southern Ave at Southview Dr,293,372
506,County Rd at Valley Brook Apts,293,174
716,Judge's Dr at Pratt St,292,2460
871,New Carrollton Station - Arrival,292,19110
375,Brinkley Rd at Morton Place,292,195
1010,Queensbury Rd at 41st Ave,290,292
1137,Sheriff Rd at Glen Willow Dr - South Side,290,52
431,Central Ave at Daimler Dr,290,228
549,East-West Hwy at Toledo Ter,288,733
1053,Ritchie Rd at Alberta Dr,288,407
1073,Ritchie Station Court Bus Stop #1,287,1048
301,Bishopmill Dr at Village Dr West,285,57
643,Hanover Pkwy at Greenbelt Rd,285,260
719,Kenilworth Ave at Nicholson St,283,593
248,Auth Rd at Carswell Ave,283,282
703,Jefferson St at Kenilworth Ave,283,757
107,60th Ave at Greenbelt Rd,281,140
1110,SOUTHERN AVENUE & CHESAPEAKE STREET SE,280,166
289,Belcrest Rd at PG Plaza Entrance,279,2389
303,Bladensburg Rd at 40th Ave,278,482
807,MLK Jr Hwy at Sheriff Rd,278,317
275,Baltimore Ave at Oglethorpe St,278,239
1170,Southern Ave at Premisies 800 (Park Southern Apts),277,302
514,Crescent Rd at Ridge Rd,276,400
790,Lottsford Rd at Zachery St,274,596
691,INDIAN HEAD HWY AT FORT WASHINGTON MANOR SENIOR RESIDENCES,273,367
1169,Southern Ave at Park Southern Apts,272,395
446,Central Ave at Yeoman Pl,272,137
315,Bock Rd at Wolf St,271,58
776,Largo Rd at Town Farm Rd,270,244
1158,Southern Ave at Barnaby Road,270,203
58,38th St at Perry St,268,291
350,Brightseat Rd at Glen Valley Dr,268,135
747,Landover Rd at 55th Ave,268,302
364,Brinkley Rd at Farmer Dr,267,243
360,Brinkley Rd at Brinkley House W Ent,267,985
1245,Temple Hill Rd at Santeetlah Dr,265,478
633,Hamilton St at 38th Ave,265,551
368,Brinkley Rd at Huntley Square Dr,264,1084
1157,Southern Ave at B St SE,263,196
191,Ager Rd at Oglethorpe St,262,437
578,Gallatin St at 43rd Ave,262,324
661,Harvey Dr at Sheriff Rd,262,83
259,Baltimore Ave at Campus Dr,259,43
998,Prince George's Plaza - Arrival,257,1351
963,PALMER ROAD & POTOMAC HEIGHTS DRIVE,257,51
202,Allentown Rd at Kingston Dr,256,346
109,60th Ave at Seminole St,256,161
376,Brinkley Rd at Roberts Dr,255,205
1194,St Barnabas Rd at Hagan Rd,255,86
1174,Southern Ave opposite B St SE,255,137
1237,Temple Hill Rd at Lambert Dr,255,176
300,Benning Rd at Southern Ave,253,312
564,Fieldstone Way,251,118
334,Brandywine Road at Surrats Road,250,475
1075,Ritchie-Marlboro Rd & Sansbury Rd,250,381
205,Allentown Rd at Opp. Leon St,249,125
778,Largo Rd at Watkins Park Dr,249,572
836,Matapeake Business Dr at Target Store (opposite),248,237
1274,Village Green Dr at Belle Haven Dr,247,85
1276,Volta Ave at 39th Pl,246,61
1177,Southern Rd at Wheeler Rd,244,182
1090,Riverdale Rd at 67th Pl,244,149
943,Oxon Hill Rd at 6246 Oxon Hill Rd,243,397
1017,Queensbury Rd at Rhode Island Ave,243,133
29,28th Ave at Keith St,242,259
280,Baltimore Ave at Rossborough Ln,242,325
213,Allentown Way at Allentown Rd,242,419
941,Oxon Hill Rd at 6192 Oxon Hill Rd,241,501
12,14th Ave at Langley Way,241,370
1105,Rollins Ave at Upcot Ct,240,103
796,MLK Jr Hwy at Booker Dr,239,122
105,5846 ALLENTOWN WAY,239,713
7,1380 Southern Ave,239,196
1013,Queensbury Rd at 44th Pl,239,439
792,MERCANTILE LN AT TECHNOLOGY WAY,239,151
448,Chatsfield Way at Palmerton Ter,238,99
938,Owens Rd at Woodland Blvd,238,347
678,Hillside Rd at Laurel Hill Rd,237,381
209,Allentown Rd at Waldran Ave,237,204
249,Auth Rd at Clacton Ave,236,208
399,Campus Way S at Prince Place,235,111
547,East Swan Creek at Indian Head Hwy,235,206
642,Hanover Pkwy at Green Manor Ct,234,178
771,Largo Rd at Kettering Dr,234,80
268,Baltimore Ave at Hollywood Rd,234,266
390,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,233,360
1267,Valley Trail Ln at Romford Dr,233,192
990,Piscataway Rd at Hardesty Dr,233,131
391,CAMPUS WAY NORTH AT BYWARD BLVD,232,164
1155,Southern Ave at 6th St SE,231,245
629,Hamilton St at 31st Ave - in,230,1041
69,40th Pl at Gallatin St,230,274
269,Baltimore Ave at Indian Ln,230,163
351,Brightseat Rd at Glenarden Pkwy,228,255
589,Goddard Space Flight Center Visitors Center (Southbound),228,198
503,County Rd at Belwood St,226,262
