,stop,boardings
1037,Queens Chapel Rd at Lancer Dr,154
1166,Sheriff Rd at Glen Willow Dr - South Side,153
977,Oxon Hill Rd at 6246 Oxon Hill Rd,152
925,Old Marlboro Pike at Melwood Park Ave,152
1276,Temple Hill Rd at Piscataway Rd,152
1315,Walker Mill Drive at Shady Glen Drive,152
176,Ager Rd at 23rd Ave,152
177,Ager Rd at 29th Ave,152
110,800 Ritchie Rd,151
1124,Riverdale Rd at Tanglewood Dr,150
1028,Pontiac St at 60th Ave,150
650,Hampton Park Boulevard at Edgeworth Dr,149
1263,Temple Hill Rd at Cardwell Dr,149
258,Baltimore Ave at East West Hwy,149
381,Brinkley Rd at Rosecroft Shopping Center,148
989,Oxon Hill Rd at Oxon Hill Plaza(6201),148
355,Brightseat Rd at Opp. Maple Ridge Apts #1,148
345,Brightseat Rd at Girard St,148
881,Nalley Rd at Michele Dr,148
96,54th Ave at Jefferson St,148
778,Largo Rd at Drumsheugh Ln,147
730,Judge's Dr at Pratt St,147
330,Brandywine Road at Surrats Road,147
1206,Southern Rd at Wheeler Rd,146
1310,Volta Ave at 39th Pl,145
534,District Heights Municipal Bldg,145
270,Baltimore Ave at Longfellow St,145
319,Brandywine Rd at Cork Tree Way,145
559,East-West Hwy at Toledo Ter,145
265,Baltimore Ave at Hollywood Rd,144
1130,Rollins Ave at District Ave,144
574,Fieldstone Way,143
1167,Sheriff Rd at Harvey Dr,142
570,Fairlawn St at 28th Pkwy,142
1299,Valley Trail Ln at Bain Dr 2,141
325,Brandywine Road @ Killarney Street,141
26,23rd Ave at Woodberry St,141
968,Owens Rd at Wheeler Rd,141
1242,Suitland Rd at Homer Ave,140
301,Bladensburg Rd at 41st Ave,140
387,Brinkley Rd at Trude St,139
1303,Village Dr West at Clairfield Ln,139
522,Crescent Rd at Ridge Rd,139
415,Campus Way South at PGCC Perimeter Rd,139
5,1100 Owens Rd,139
1201,Southern Ave at United Medical Center,138
1069,Rhode Island Ave at County Service Building - SB,138
457,Cherrywood Ln at Greenbelt Federal Courthouse,138
164,Addison Rd at Drylog St,138
1081,Ritchie Rd at Central Ave,138
380,Brinkley Rd at Rose Croft Shopping Center,138
577,Fisher Rd at Damian Dr,137
562,Edgeworth Dr at Ritchie Rd,137
811,MLK Jr Hwy at 69th Pl,136
214,Annapolis Rd at Bladensburg Elem. School,136
1125,Riverdale Rd at Taylor Rd,136
1088,Ritchie Rd at Napier Dr,135
879,Nalley Rd at Kaplan Ct,135
926,Old Marlboro Pike at Melwood Rd,135
170,Addison Rd at Seat Pleasant Dr,134
628,Greenbrook Dr at Ora Glen Dr,134
636,Greenway Center (PM Northbound),134
278,Baltimore Ave at Sheridan St,134
38,28th Pl at Russell Ave,134
812,MLK Jr Hwy at Addison Rd,133
860,McCormick Dr at Opp. UMUC Building,132
58,38th St at Shepherd St,131
846,Marlboro Pike at Tucker's Restaurant,131
974,Oxon Hill Rd at 6130 Oxon Hill Rd,130
821,MLK Jr Hwy at Hill Rd,129
174,Addison Rd at Wilburn St,128
1197,Southern Ave at Owens Rd,128
275,Baltimore Ave at Regents Dr,128
502,Columbia Park Rd at Stanford Pl,128
372,Brinkley Rd at Larwin Dr,127
1090,Ritchie Rd at Putnam Ln,126
4,10800 Indian Head Highway at Fort Washington Manor,126
822,MLK Jr Hwy at Roosevelt Ave,124
608,Good Luck Rd at Silk Tree Dr,124
980,Oxon Hill Rd at Harborview Rd,124
518,Crescent Rd at 58 Court,124
701,INDIAN HEAD HIGHWAY & SOUTHERN AVENUE,124
1319,Walker Mill Rd at Tanow Pl,124
35,28th Pkwy at Curtis Dr,123
168,Addison Rd at James Farmer Way,123
1034,Quebec St at 58th Ave,122
1064,Rhode Island Ave at 42nd Pl,122
1072,Rhode Island Ave at Volta Ave,122
816,MLK Jr Hwy at Carrington Dr,122
802,Lottsford Rd at Harry S. Truman,122
260,Baltimore Ave at Erie St,121
187,Allentown Rd at Allentown Way,121
1077,Ridgefield Blvd at Sgt. Harman Ln,121
231,Arundel Rd at 29th St,121
763,Landover Rd at 75th Ave,121
887,New Carrollton Station - Arrival,120
186,Allentown Rd at 5711 AFCU Allentown Rd,119
672,Harry S. Truman Dr at Lottsford,119
558,East-West Hwy at Prince George's Mall Ent.,119
1187,Southern Ave at B St SE,119
1185,Southern Ave at 6th St SE,119
41,3133 Pennsy Dr,119
480,Chillum Rd at Shoppers Food,118
865,Merchantile Ln at Technology Way,118
1131,Rollins Ave at Hanlon Street,118
219,Apollo Dr at Mercantile Ln,118
225,Ardwick-Ardmore Rd at UPS Customer Center,118
1162,Sheriff Rd at Dutch Village Dr,118
1290,Truman Manor,117
776,Largo Rd at Buck Ln,117
1157,Sheriff Rd at Belle Haven Dr,117
360,Brinkley Rd at Brinkley House W Ent,117
104,60th Ave at Quebec St,116
761,Landover Rd at 58th Ave,116
208,Annapolis Rd at 48th St,116
1296,Upshur St at 28th St,116
566,Equestrian Center Lot 1 (Arrival),115
649,Hampton Park Boulevard at East Hampton Dr,114
620,Greenbelt Rd at Walker Dr,114
1207,Southway at 10 Court,114
1308,Village Green Dr at Belle Haven Dr,114
1234,Stuart Ln at Topaz Court,114
201,Allentown Rd at Waldran Ave,114
209,Annapolis Rd at 53rd Pl,113
877,Nalley Rd at East Nalley Rd,113
834,Mandan Rd at Mandan Rd Ct,113
1087,Ritchie Rd at Mane Ln,112
