,stop,alightings
1332,Woodyard Rd at Autumn Way,238
584,Forestville Rd at Parston Dr,237
216,Annapolis Rd at Riverdale Rd,237
470,Cheverly Ave at Montrose Rd,234
696,Hubbard Rd at Martin Luther King,234
233,Ashwood Dr at Dunmore Pl,234
473,Chillum Rd at 18th Ave,233
754,Landover Metro Station - Arrival,231
1001,PALMER ROAD & OLD PALMER ROAD,231
121,85th Avenue and Hiltop Apartments,229
749,Lamont Dr at Lamont Pl,229
54,38th St at Hamilton St,229
810,MLK Jr Hwy at 65th Ave,228
438,Central Ave at Cindy Ln,228
875,Nalley Rd at Capital View Dr,227
1175,Silver Hill Rd at Parkway Terrace Dr,227
911,Old Branch Ave at Kirby Ln,226
25,23rd Ave at Sheridan St,224
1180,Silver Hill Rd at Swann Rd,223
843,Marlboro Pike at Melwood Mall,223
691,Hillside Rd at Laurel Hill Rd,222
48,34th St at Bunker Hill Rd,222
758,Landover Rd at 55th Ave,221
94,5295 85th Ave,220
1028,Pontiac St at 60th Ave,220
1114,Riverdale Rd at 64th Ave,220
235,Ashwood Dr at Ritchie Rd,220
543,Dodge Park Rd at Landover Rd,220
1296,Upshur St at 28th St,219
535,District Heights Pkwy at Addison Rd S,219
529,Denise Dr at Dutton Way,218
396,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,218
581,Fisher Rd at Holton Ln,215
20,23rd Ave at Banning Pl,214
320,Brandywine Rd at Horshoe Rd,214
1091,Ritchie Rd at Ritchie Dr,214
330,Brandywine Road at Surrats Road,213
27,2400 Chillum Rd,213
13,14th Ave at Langley Way,213
992,Oxon Hill Rd at Rivertown Commons(6135),212
522,Crescent Rd at Ridge Rd,212
819,MLK Jr Hwy at Glen Willow Dr,212
1184,Southern Ave at 13th St SE,212
63,38th St at Windom Rd,212
403,Campus Drive at Baltimore Ave,211
1204,Southern Maryland Hospital,210
268,Baltimore Ave at Knox Rd,210
73,414 Brightseat Rd,209
318,Brandywine Rd at Clinton Way,205
102,58th Ave at Berwyn Rd,205
92,5150 Annapolis Rd,205
785,Largo Rd at Largo Landing,203
33,28th Pkwy at 27th Ave,203
909,Old Branch Ave at Arbutus Ln,203
645,Hamilton St at 38th Ave,200
1285,Temple Hill Rd at Weldon Dr,199
712,Indian Head Highway at Southern Ave,199
345,Brightseat Rd at Girard St,199
898,Old Alexandria Ferry Rd at Heflin Dr,198
976,Oxon Hill Rd at 6201 Oxon Hill Plaza,198
1208,Southway at 11 Court,197
329,Brandywine Road at Dennison Drive,197
553,East Capitol St at Old Central Ave,197
97,5600 54th Ave,197
931,Old Marlboro Pike at Roblee Dr,196
428,Capitol Heights Station,196
1280,Temple Hill Rd at Santeetlah Dr,196
998,PALMER ROAD & DEVON HILLS DRIVE,195
440,Central Ave at Garrett A Morgan Blvd,194
191,Allentown Rd at Coolridge Rd,194
680,Highview Pl at Keyworth Ct,193
732,Kanawha St at 15th Ave,192
805,Lottsford Rd at McCormick Dr,191
837,Marlboro Pike at Forest Run Dr,190
34,28th Pkwy at Afton St,190
88,4412 Suitland Rd (Opposite),190
536,District Heights Pkwy at Breton Dr,189
1120,Riverdale Rd at Fountainbleau Dr,189
259,Baltimore Ave at East-West Hwy,188
580,Fisher Rd at Heather Hill Ent.,188
1061,Rhode Island Ave at 38th St,187
1282,Temple Hill Rd at Spring Ter,187
1311,Volta Ave at Rhode Island Ave,187
1309,Village Green Dr at Sheriff Rd,186
385,Brinkley Rd at Summerhill Rd,186
70,4106 Whitehall Square Apts,186
368,Brinkley Rd at Huncrest Ent,186
363,Brinkley Rd at Cherryfield Rd,185
1195,Southern Ave at H St,184
888,New Carrollton Station Bay F,184
838,Marlboro Pike at Glacier Ave,184
371,Brinkley Rd at Kildare Ct,184
871,Morris Ave at Maxwell Dr,183
948,Opp. 1300 McCormick Dr,183
787,Largo Rd at Opp. Town Farm Rd,182
862,McCormick Dr at UMUC,182
902,Old Alexandria Ferry Rd at Mike Shapiro Dr,182
1089,Ritchie Rd at Overton Dr,181
387,Brinkley Rd at Trude St,180
155,ALLENTOWN WAY & 5846 ALLENTOWN WAY,180
439,Central Ave at Daimler Dr,179
855,Maxwell Dr at Morris Ave,179
7,1301 McCormick Dr,178
643,Hamilton St at 36th Ave,178
222,Ardwick-Ardmore Rd at MLK Jr Hwy,177
1185,Southern Ave at 6th St SE,177
901,Old Alexandria Ferry Rd at Malcom Rd,176
22,23rd Ave at Drexel St,176
1082,Ritchie Rd at D'arcy Rd,175
562,Edgeworth Dr at Ritchie Rd,174
1092,Ritchie Rd at Ritchie Rd Spur,174
824,MLK Jr Hwy at Sheriff Rd,174
1243,Suitland Rd at Opp. Suitland Federal Center Gate 3,173
494,Columbia Park Rd at Clarkson Way,172
4,10800 Indian Head Highway at Fort Washington Manor,171
957,Opposite of Rose Croft Shopping Center,170
720,Jericho Residences,169
366,Brinkley Rd at Glen Oak Dr,169
618,Greenbelt Rd at Lakecrest Dr,168
944,Opp 3133 Pennsy Dr,168
1132,Rollins Ave at Rollins Ln,168
1272,Temple Hill Rd at Megan Dr,167
1301,Valley Trail Ln at Romford Dr,167
736,Kipling Pkwy at Brewton St,166
208,Annapolis Rd at 48th St,166
1174,Silver Hill Rd at Metro Dr,166
1080,Ritchie Rd at Ashville Rd,165
592,Garrett A. Morgan Blvd at Gibbs Way,165
802,Lottsford Rd at Harry S. Truman,165
534,District Heights Municipal Bldg,165
878,Nalley Rd at Green Willow Ct,164
19,23rd Ave at Amherst Rd,164
740,Kipling Pkwy at Marbury Dr,164
973,Oxon Hill Rd OXON HILL FRINGE at Oxon Rd (arrival) (Arrival),164
1151,Saint Barnabas Rd at Barrowfield Rd,164
1105,Riverdale Rd and 7600 Riverdale Road,163
