,stop,boardings,alightings
175,Ager Rd and Oglethorpe St,161,56
1082,Ritchie Rd at D'arcy Rd,161,175
455,Chatsfield Way at Reading Ter,161,107
276,Baltimore Ave at Riverdale Rd,161,387
862,McCormick Dr at UMUC,161,182
618,Greenbelt Rd at Lakecrest Dr,160,168
92,5150 Annapolis Rd,160,205
1286,Timothy Branch Dr at Safeway Ent,160,660
571,Fairlawn St at Colebrooke Dr,160,405
1154,Saint Barnabas Rd at John Hanson Ln,160,87
893,OLD BRANCH AVENUE & ALLENTOWN WAY,159,36
272,Baltimore Ave at Oglethorpe St,159,246
82,42nd Ave at Madison St,159,351
547,Donnell Drive at Marlboro Pike,159,1111
1199,Southern Ave at Robert Yedell Towers,158,273
195,Allentown Rd at Old Branch Ave,157,364
638,Gwendolyn Britt Center,157,151
121,85th Avenue and Hiltop Apartments,156,229
871,Morris Ave at Maxwell Dr,156,183
824,MLK Jr Hwy at Sheriff Rd,155,174
944,Opp 3133 Pennsy Dr,154,168
73,414 Brightseat Rd,154,209
1037,Queens Chapel Rd at Lancer Dr,154,249
1166,Sheriff Rd at Glen Willow Dr - South Side,153,14
177,Ager Rd at 29th Ave,152,17
176,Ager Rd at 23rd Ave,152,123
1315,Walker Mill Drive at Shady Glen Drive,152,120
1276,Temple Hill Rd at Piscataway Rd,152,147
977,Oxon Hill Rd at 6246 Oxon Hill Rd,152,260
925,Old Marlboro Pike at Melwood Park Ave,152,152
110,800 Ritchie Rd,151,149
1124,Riverdale Rd at Tanglewood Dr,150,100
1028,Pontiac St at 60th Ave,150,220
650,Hampton Park Boulevard at Edgeworth Dr,149,335
1263,Temple Hill Rd at Cardwell Dr,149,90
258,Baltimore Ave at East West Hwy,149,56
345,Brightseat Rd at Girard St,148,199
96,54th Ave at Jefferson St,148,265
881,Nalley Rd at Michele Dr,148,89
381,Brinkley Rd at Rosecroft Shopping Center,148,706
355,Brightseat Rd at Opp. Maple Ridge Apts #1,148,1194
989,Oxon Hill Rd at Oxon Hill Plaza(6201),148,119
778,Largo Rd at Drumsheugh Ln,147,29
730,Judge's Dr at Pratt St,147,1120
330,Brandywine Road at Surrats Road,147,213
1206,Southern Rd at Wheeler Rd,146,121
270,Baltimore Ave at Longfellow St,145,90
319,Brandywine Rd at Cork Tree Way,145,79
559,East-West Hwy at Toledo Ter,145,319
534,District Heights Municipal Bldg,145,165
1310,Volta Ave at 39th Pl,145,43
265,Baltimore Ave at Hollywood Rd,144,146
1130,Rollins Ave at District Ave,144,110
574,Fieldstone Way,143,125
1167,Sheriff Rd at Harvey Dr,142,260
570,Fairlawn St at 28th Pkwy,142,37
1299,Valley Trail Ln at Bain Dr 2,141,98
325,Brandywine Road @ Killarney Street,141,27
26,23rd Ave at Woodberry St,141,293
968,Owens Rd at Wheeler Rd,141,123
301,Bladensburg Rd at 41st Ave,140,81
1242,Suitland Rd at Homer Ave,140,80
387,Brinkley Rd at Trude St,139,180
1303,Village Dr West at Clairfield Ln,139,3
522,Crescent Rd at Ridge Rd,139,212
415,Campus Way South at PGCC Perimeter Rd,139,158
5,1100 Owens Rd,139,124
380,Brinkley Rd at Rose Croft Shopping Center,138,153
1081,Ritchie Rd at Central Ave,138,384
164,Addison Rd at Drylog St,138,99
457,Cherrywood Ln at Greenbelt Federal Courthouse,138,121
1201,Southern Ave at United Medical Center,138,52
1069,Rhode Island Ave at County Service Building - SB,138,149
577,Fisher Rd at Damian Dr,137,85
562,Edgeworth Dr at Ritchie Rd,137,174
811,MLK Jr Hwy at 69th Pl,136,95
214,Annapolis Rd at Bladensburg Elem. School,136,587
1125,Riverdale Rd at Taylor Rd,136,43
879,Nalley Rd at Kaplan Ct,135,85
926,Old Marlboro Pike at Melwood Rd,135,99
1088,Ritchie Rd at Napier Dr,135,122
170,Addison Rd at Seat Pleasant Dr,134,51
628,Greenbrook Dr at Ora Glen Dr,134,103
636,Greenway Center (PM Northbound),134,137
278,Baltimore Ave at Sheridan St,134,42
38,28th Pl at Russell Ave,134,105
812,MLK Jr Hwy at Addison Rd,133,70
860,McCormick Dr at Opp. UMUC Building,132,126
58,38th St at Shepherd St,131,248
846,Marlboro Pike at Tucker's Restaurant,131,127
974,Oxon Hill Rd at 6130 Oxon Hill Rd,130,253
821,MLK Jr Hwy at Hill Rd,129,40
1197,Southern Ave at Owens Rd,128,42
275,Baltimore Ave at Regents Dr,128,72
502,Columbia Park Rd at Stanford Pl,128,64
174,Addison Rd at Wilburn St,128,45
372,Brinkley Rd at Larwin Dr,127,23
1090,Ritchie Rd at Putnam Ln,126,84
