,stops,route,early,on_time,late
138,SHAKESPEARE BLVD & FREDERICK RD,55,34.0,33.0,25.0
139,SHAKESPEARE BLVD & MILESTONE PARK &,55,34.0,66.0,32.0
140,SHAKESPEARE BLVD & OBSERVATION DR,55,175.0,654.0,115.0
141,SOMERVILLE DR & REDLAND RD,55,17.0,20.0,20.0
142,TRAVIS AVE & TRAVIS LN,55,127.0,367.0,38.0
143,TRAVIS AVE & TRAVIS VIEW CT,55,44.0,120.0,25.0
144,TRAVIS AVE & WATKINS MILL RD,55,17.0,50.0,18.0
145,TUCKERMAN LN & ROCKVILLE PIKE,46,0.0,2.0,0.0
146,TWINBROOK STATION  & BAY A - WEST,46,1858.0,3758.0,1939.0
147,WATKINS MILL RD & TRAVIS AVE,55,11.0,60.0,7.0
