,stop,boardings
257,Baltimore Ave at East West Hwy,65
95,54th Ave at Jefferson St,65
240,Auth Rd at #6208-6220,65
980,Oxon Hill Rd at Harborview Rd,65
305,Bock Rd at National Christian Academy (6700),64
941,Old Silver Hill Rd at Parkland Ct (E),64
82,42nd Ave at Madison St,64
574,Fieldstone Way,64
238,Auburn Ave at Chestnut Ave,63
204,Allentown Way at Allentown Rd (Aldi's),63
510,County Rd at Belwood St,63
439,Central Ave at Garrett A Morgan Blvd,63
661,Hanover Pkwy at Opp. Hunting Ridge Club Apts,63
1264,Temple Hill Rd at Fisher Rd,63
1122,Riverdale Rd at Tanglewood Dr,62
707,Indian Head Highway (MD. RTE. 210) at Livingston Road,62
960,Owens Rd at Irvington St,62
1311,Walker Mill Dr at New Mt. Nebo Baptist Church,62
486,College Park Metro Station - Bus Bay T8,62
743,Kipling Pkwy at Ritchie Rd,62
1123,Riverdale Rd at Taylor Rd,62
71,4112 Whitehall Square Apts,61
1087,Ritchie Rd at Overton Dr,61
407,Campus Way S at PGCC Entrance,61
380,Brinkley Rd at Saint Ignatius Dr,60
737,Kipling Pkwy at Council Dr,60
1085,Ritchie Rd at Mane Ln,60
1029,Pontiac St at Edmonston Rd,60
1041,Queensbury Rd at 41st Ave,60
1219,St Barnabas Rd at Frazier Ter,60
275,Baltimore Ave at Riverdale Rd,60
35,28th Pkwy at Curtis Dr,60
1096,Ritchie Rd at Walker Mill Rd,59
378,Brinkley Rd at Rose Croft Shopping Center,59
1127,Rollins Ave at 1506 Rollins Ave,59
1240,Suitland Rd at Homer Ave,59
212,Annapolis Rd at Bladensburg Elem. School,58
297,Bladensburg Rd at 40th Ave,58
116,8301 Professional Pl,58
1309,Volta Ave at Rhode Island Ave,58
375,Brinkley Rd at Morton Place,58
479,Chillum Rd at Shoppers Food,58
1272,Temple Hill Rd at Opp. Southeast Mobile Estates,58
281,Baltimore Ave at University Blvd,58
831,Mandan Rd at Canning Terr,58
522,Crescent Rd at Ridge Rd,58
1076,Ridgefield Blvd at Stretford Ct,58
363,Brinkley Rd at George Washington Dr,58
1149,Saint Barnabas Rd at Barrowfield Rd,57
758,Landover Rd at 56th Ave,57
311,Branch Ave Station - Arrival,57
388,Brooks Dr at Marlboro Pike,57
179,Ager Rd at Nicholson St,57
345,Brightseat Rd at Glenarden Library,57
347,Brightseat Rd at Hamlin St,57
1195,Southern Ave at Owens Rd,57
1331,Woodyard Rd at Marlboro Pike,57
159,Addison Rd at Adel St,57
307,Bock Rd at Saint Barnabas Rd,57
1186,Southern Ave at Barnaby Road,57
649,Hampton Park Boulevard at East Hampton Dr,57
60,38th St at Upshur St,57
1074,Rhode Island at Wallace Rd Prem #4511,56
1278,Temple Hill Rd at Santeetlah Dr,56
1222,St Barnabas Rd at Lime St,56
68,40th Pl at Crittenden,56
117,8343 Ardwick-Ardmore Rd,56
114,8300 Corporate Dr,56
209,Annapolis Rd at 54th Pl,56
1044,Queensbury Rd at Baltimore Ave,56
556,East Swan Creek at Olde Fort Village Shopping Center,56
