,stop,alightings
607,Goddard Space Flight Center Main Gate (PM Southbound),255
539,Denise Dr at Rollins Ave,255
996,Oxon Hill Rd at Harborview Rd,254
777,Landover Rd at Kent Town Place,254
883,Metro Dr at Gate 7 Security Booth,254
1225,Southern Rd at Wheeler Rd,253
598,Gallatin St at 43rd Ave,253
716,Indian Head Highway (MD RTE. 210) at Livingston Rd,251
892,Nalley Rd at East Nalley Rd,250
663,Hanover Pkwy at Green Manor Ct,249
461,Chatsfield Way at Reading Ter,248
196,Allentown Rd at Kingston Dr,247
637,Greenbrook Dr at Ora Glen Dr,246
94,5150 Annapolis Rd,245
688,Highview Pl at Brooke Rd,245
204,Allentown Rd at Waldran Dr,245
332,Brandywine Road @ Surrats Road,244
647,Gwendolyn Britt Center,244
194,Allentown Rd at Dodge Ln,244
8,1400 McCormick Dr,243
235,Arundel Rd at 34th Ave,243
696,Hill Rd at Willow Hill Dr,243
941,Old Marlboro Pike at Melwood Rd,243
1094,Rhode Island Avenue at Opp 37th Pl,242
894,Nalley Rd at Kaplan Ct,242
214,Annapolis Rd at 54th St,242
822,MLK Jr Hwy at 69th Pl,241
40,3119 75th Ave (Overland Gardens),241
1064,Queensbury Rd at Baltimore Ave,241
208,Allentown Way at Allentown Rd (Aldi's),241
1212,Southern Ave at Forest Hills Apts,241
831,MLK Jr Hwy at Greig St,240
114,8100 Sheriff Rd,240
679,Harry S Truman Dr at Mt Lubentia Way,240
583,Fieldstone Way,240
1158,SOUTHERN AVENUE & CHESAPEAKE STREET SE,237
796,Largo Rd at Mount Lubentia Way,237
373,Brinkley Rd at Henson Creek Apts,237
1068,Rainier Ave at Upshur St,236
907,Nova Ave at Marlboro Pike,236
692,Highview Pl at Sunbury Ct,236
270,Baltimore Ave at Jefferson St,235
32,28th Ave at Kenton Pl,234
191,Allentown Rd at Brinkley Rd (Family Services),233
88,42nd at Jefferson St,233
1149,Rollins Ave at District Ave,233
264,Baltimore Ave at Guilford Rd,232
451,Central Ave at Ritchie Rd,231
699,Hillside Rd at Crescent Rd,231
600,Garrett A Morgan Blvd at Ridgefield Blvd,231
1266,Suitland Rd at Towne Park Rd,230
350,Brightseat Rd at Evarts St,230
1089,Rhode Island Ave at Gallatin St,230
306,Bladensburg Rd at 42nd Ave,229
57,38th St at Parkwood St,228
5,1100 Owens Rd,227
