,hour,route,boardings,alightings
59,6,Route 15 Express,2004,1793
347,15,Route 23,1795,1784
244,12,Route 13,2006,1770
195,10,Route 26,1940,1764
150,9,Route 13,1507,1740
200,10,Route 33,2049,1737
225,11,Route 26,1596,1732
409,17,Route 21 Express,1764,1732
338,15,Route 14,1662,1725
88,7,Route 13,1972,1724
423,17,Route 37,1642,1716
