,stop,boardings,alightings
1114,Ritchie Rd at Shepherd St,580,196
818,Lottsford Rd at Zachery St,579,750
720,Indian Head Highway at Audrey Ln,578,913
220,Apollo Dr at Lottsford Rd,576,571
272,Baltimore Ave at Lakeland Rd,576,710
881,Merrimac St at 14th Ave,575,81
460,Chatsfield Way at Palmerton Ter,575,198
1260,Suitland Rd at 4410 Suitland Rd,574,1277
902,New Carrollton Station - Arrival,573,29762
391,Brinkley Rd at Summerhill Rd,567,459
1073,Ray Rd at Cypress Creek Dr,566,765
972,Opposite of Rose Croft Shopping Center,565,292
1118,Ritchie Station Court Bus Stop #1,557,1937
946,Old Marlboro Pike at Roblee Dr,552,505
1075,Ray Rd at Madison St,552,654
964,Opp. 4138 Whitehall Square Apts,551,65
861,Marlboro Pike at Whitney Pl,548,83
1352,Woodyard Rd at Canberra Dr,545,283
867,Mattowoman Beantown Rd at MTA Park and Ride Lot,544,9
837,MONUMENT AVE @ MGM CASINO,537,1942
851,Marlboro Pike at Kipling Pkwy,536,664
1077,Rhode Island Ave at 34th St,535,258
451,Central Ave at Ritchie Rd,532,231
544,District Heights Pkwy at Breton Dr,532,400
690,Highview Pl at Keyworth Ct,527,336
1250,Stars Entrance Gaylord Hotel at National Harbor Blvd,525,1294
258,Baltimore Ave at Campus Dr,524,94
1113,Ritchie Rd at Roslyn Ave,523,761
1099,Ritchie Rd at Ashville Rd,519,427
1043,Piscataway Rd at Old Branch Ave,519,127
55,38th St at Hamilton St,517,425
1173,Saint Barnabas Rd at John Hanson Ln,514,193
68,40plgall_nb,514,61
1229,Southway at Crescent Rd,513,602
98,54th Ave at Jefferson St,511,712
821,MLK Jr Hwy at 65th Ave,509,461
25,23rd Ave at Sheridan St,506,511
622,Greenbelt Metro Dr at Cherrywood Ln,505,674
1182,Sheriff Rd at Eaton Square Apartments,503,192
795,Largo Rd at Largo Landing,499,418
1245,St Barnabas Rd at Raleigh Rd,498,527
562,East Capitol St at Yost Pl,497,529
1126,Riverdale Rd at 54th Ave,497,313
41,3133 Pennsy Dr,494,483
392,Brinkley Rd at Temple Hill Rd,494,603
47,3417 Dodge Park Rd,490,488
27,2400 Chillum Rd,489,461
193,Allentown Rd at Coolridge Rd,489,394
1292,Temple Hill Rd at Old Temple Hill Rd,487,264
509,Columbia Park Rd at Virginia Ave,487,123
1266,Suitland Rd at Towne Park Rd,486,230
1079,Rhode Island Ave at 37th St,485,280
546,District Heights Pkwy at Marbury Ct (W),484,314
985,Oxon Hill Fringe Lot,482,43
556,Donnell Drive at Target Store,478,971
219,Apollo Dr at Arena Dr,478,618
52,38th St at Allison St,476,217
1321,Village Dr West at Bishopmill Dr,475,475
1258,Suitland Metro - Arrival,473,16998
33,28th Pkwy at 27th Ave,473,436
611,Good Luck Rd at Cathedral Ave,472,446
1320,Valley Trail Ln at Romford Dr,472,359
750,Kipling Pkwy at Marbury Dr,471,318
636,Greenbrook Dr at Hanover Pkwy,470,496
843,Mandan Rd at Greenbelt Rd,470,303
7,1301 McCormick Dr,470,350
1213,Southern Ave at Gunther St,470,182
494,College Park Station,468,611
306,Bladensburg Rd at 42nd Ave,464,229
352,Brightseat Rd at Glen Valley Dr,461,284
94,5150 Annapolis Rd,461,245
539,Denise Dr at Rollins Ave,460,255
122,85th Avenue and Carrollon Manor,460,1172
891,Nalley Rd at Crane Pl,459,295
691,Highview Pl at Onslow Way,459,359
722,Indian Head Highway at Southern Ave,458,564
292,Belcrest Rd at PG Plaza Sta Entrance,456,2
374,Brinkley Rd at Huncrest Ent,455,302
72,4112 Whitehall Square Apts,455,1287
567,East-West Hwy at Toledo Ter,455,856
1238,St Barnabas Rd at Deer Park Dr,452,149
997,Oxon Hill Rd at John Hanson Ln,450,143
483,Chillum Rd at Buchanan St,447,302
1209,Southern Ave at C St,445,692
1033,Pennsylvania Ave at Penn Crossing Dr,443,787
430,Capitol Heights Blvd at Emmet St,441,862
179,Ager Rd at 29th Ave,440,53
332,Brandywine Road @ Surrats Road,439,244
1158,SOUTHERN AVENUE & CHESAPEAKE STREET SE,435,237
83,42nd Ave at Madison St,435,1086
588,Fisher Rd at Heather Hill,435,211
886,Morris Ave at Maxwell Dr,434,600
34,28th Pkwy at Afton St,434,382
236,Ashwood Dr at Dunmore Pl,434,589
1300,Temple Hill Rd at Southeast Mobile Estates,432,91
1080,Rhode Island Ave at 38th St,431,354
1085,Rhode Island Ave at Bunker Hill Rd,430,118
1288,Temple Hill Rd at Kirbywood St,430,300
882,Merrimac St at New Hampshire Ave Service Rd,430,83
740,Judge's Dr at Pratt St,428,2760
663,Hanover Pkwy at Green Manor Ct,426,249
1005,Oxon Hill Rd at Oxon Hill Plaza(6201),425,298
1251,Stuart Lane at Surratts Road,425,28
1277,Takoma Langley Park Transit Center Bus Bay B (hidden arrival),424,3173
606,Goddard Space Flight Center Main Gate (Northbound),422,1255
412,Campus Way North at St Joseph's Dr,421,197
1087,Rhode Island Ave at County Service Building - NB,421,356
1054,Queens Chapel Rd at Hamilton St,420,712
261,Baltimore Ave at East West Hwy,419,204
896,Nalley Rd at Michele Dr,418,183
1318,Valley Trail Ln at Bain Dr 2,416,324
402,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,416,439
1218,Southern Ave at Robert Yedell Towers,415,622
662,Hampton Park Boulevard at Steeplechase,414,605
305,Bladensburg Rd at 41st Ave,414,260
46,3404 Dodge Park Rd,414,344
990,Oxon Hill Rd at 6192 Oxon Hill Rd,412,775
992,Oxon Hill Rd at 6246 Oxon Hill Rd,411,588
731,Jericho Residences (Southbound),410,357
1322,Village Dr West at Clairfield Ln,410,26
1332,Walker Mill Dr at New Mt. Nebo Baptist Church,409,705
1328,Village Green Dr at Sheriff Rd,408,396
752,Kipling Pkwy at Opp. 7805 Ritchie Rd,408,298
1211,Southern Ave at Forest Hills Apartment,408,315
