,stop,boardings,alightings
199,Allentown Rd at Coolridge Rd,236.0,219.0
554,Elm St at Gov Oden Bowie Dr,505.0,219.0
80,42nd At Jefferson St,106.0,218.0
430,Central Ave at Cindy Ln,593.0,218.0
288,Belcrest Rd at Opp. PG Plaza Station,1110.0,217.0
670,Highview Pl at Sunbury Ct,92.0,217.0
331,Brandywine Road at Brooke Jane Drive,51.0,216.0
631,Hamilton St at 36th Ave,439.0,214.0
523,Denise Dr at Epworth Way,182.0,214.0
379,Brinkley Rd at Shopton Pl,211.0,213.0
320,Brandywine Rd at Clinton Way,89.0,212.0
1296,Woodyard Rd at Autumn Way,77.0,211.0
215,Annapolis Rd at 48th St,117.0,211.0
566,Fisher Rd at Clow Ct,219.0,211.0
578,Gallatin St at 43rd Ave,127.0,211.0
883,Old Alexandria Ferry Rd at Heflin Dr,170.0,210.0
191,Ager Rd at Oglethorpe St,166.0,210.0
868,New Carrollton Station,10473.0,210.0
380,Brinkley Rd at Summerhill Rd,262.0,207.0
279,Baltimore Ave at Riverdale Rd,23.0,207.0
1052,Ritchie Rd at Alberta Dr,150.0,206.0
735,Lafayette Ave at Queensbury Rd,75.0,205.0
489,Columbia Park Rd at Columbia Pl,226.0,204.0
922,Old Silver Hill Rd at Parkland Dr,497.0,204.0
668,Highview Pl at Keyworth Ct,323.0,203.0
20,23rd Ave at Drexel St,218.0,202.0
277,Baltimore Ave at Queensbury Rd,173.0,202.0
603,Greenbelt Rd at Greenbelt Park Entrance,94.0,202.0
12,14th Ave at Langley Way,48.0,201.0
17,23rd Ave at Amherst Rd,439.0,201.0
528,District Heights Pkwy at Breton Dr,272.0,201.0
585,Goddard Space Flight Center Main Gate (Northbound),133.0,199.0
1244,Temple Hill Rd at Santeetlah Dr,114.0,198.0
493,Columbia Park Rd at Stanford Court,47.0,197.0
280,Baltimore Ave at Rossborough Ln,140.0,196.0
565,Fisher Rd at Brinkley Station Dr,240.0,196.0
24,23rd Ave at Woodberry St,84.0,196.0
1080,Riverdale Rd at 54th Ave,461.0,196.0
272,Baltimore Ave at Lakeland Rd,85.0,195.0
332,Brandywine Road at Dennison Drive,34.0,195.0
700,Indian Head Highway at Southern Ave,192.0,194.0
1013,Queensbury Rd at Baltimore Ave,282.0,194.0
678,Hillside Rd at Laurel Hill Rd,182.0,194.0
390,CAMPUS WAY AT NORTH AT ST. JOSEPHS DRIVE,99.0,193.0
23,23rd Ave at Sheridan St,177.0,193.0
217,Annapolis Rd at 53rd St,137.0,192.0
564,Fieldstone Way,264.0,189.0
967,PGCC Perimeter Rd at Bickford,85.0,189.0
405,Campus Way South at Joyceton Dr,360.0,189.0
95,5150 Annapolis Rd,271.0,189.0
807,MLK Jr Hwy at Sheriff Rd,123.0,188.0
473,Chillum Rd at Queens Chapel Rd,211.0,188.0
641,Hampton Park Boulevard at Steeplechase,118.0,188.0
1153,Southern Ave at 13th St SE,287.0,188.0
635,Hamilton St at 3900,359.0,187.0
791,MERCANTILE LN AT 1400 MERCANTILE LANE,32.0,187.0
1055,Ritchie Rd at D'arcy Rd,176.0,187.0
366,Brinkley Rd at Glen Oak Dr,85.0,187.0
625,Gwendolyn Britt Center,112.0,186.0
1058,Ritchie Rd at Farrs Ln,92.0,186.0
486,Columbia Park Rd at Beaver Rd,156.0,186.0
729,Kipling Pkwy at Ritchie Rd,266.0,186.0
742,Lamont Dr at Quentin St,235.0,186.0
1261,Upshur St at 29th St,109.0,185.0
70,4106 Whitehall Square Apts,653.0,185.0
612,Greenbelt Station Parkway at Streambank Lane,52.0,185.0
1103,Rollins Ave at Rollins Ln,169.0,185.0
432,Central Ave at Garrett A Morgan Blvd,59.0,185.0
1267,Village Dr West at Bishopmill Dr,34.0,183.0
889,Old Branch Ave at 6811 Old Branch Ave,37.0,182.0
590,Good Luck Rd at Cathedral Ave,184.0,182.0
726,Kipling Pkwy at Harwood Rd,289.0,182.0
1019,Rainier Ave at Upshur St,70.0,181.0
1005,Queens Chapel Road at Queensbury Rd,12.0,181.0
814,Mandan Rd at Canning Terr,285.0,181.0
150,ALLENTOWN ROAD & OLD BRANCH AVENUE,3.0,180.0
1176,Southern Rd at Wheeler Rd,247.0,180.0
302,Bladensburg Rd at 38th St,193.0,179.0
647,Hanover Pkwy at Hunting Ridge Club Apts,294.0,179.0
773,Largo Rd at Largo Landing,184.0,179.0
35,28th Pkwy at Fairlawn St,31.0,178.0
1295,Woody Terrace at Woodyard Road,794.0,178.0
696,Indian Head Highway (MD. RTE. 210) at Southern Ave,190.0,178.0
530,District Heights Pkwy at Marbury Ct (W),172.0,178.0
488,Columbia Park Rd at Clarkson Way,40.0,177.0
924,Opposite of Rose Croft Shopping Center,328.0,176.0
77,4211 Suitland Rd (Opposite),27.0,176.0
213,Allentown Way at Allentown Rd,144.0,175.0
937,Owens Rd at Woodland Blvd,119.0,174.0
31,28th Pkwy at 27th Ave,182.0,173.0
815,Mandan Rd at Greenbelt Rd,205.0,173.0
464,Cheverly Ave at Montrose Rd,211.0,172.0
820,Marlboro Pike at Forest Run Dr,21.0,172.0
262,Baltimore Ave at East-West Hwy,248.0,172.0
260,Baltimore Ave at Cherokee St,268.0,172.0
64,38th St at Windom Rd,241.0,171.0
755,Landover Rd at Firehouse Rd,110.0,170.0
427,Central Ave at Bayou Ave,196.0,170.0
1008,Queensbury Rd at 41st Ave,182.0,170.0
1192,St Barnabas Rd at Gateway Square Apts,81.0,170.0
1233,Temple Hill Rd at Henderson Rd,160.0,168.0
779,Largo Rd at West Kettering Dr,15.0,167.0
1198,St Barnabas Rd at Wheeler Rd,57.0,167.0
201,Allentown Rd at Karen Anne Dr,211.0,167.0
538,Donnell Drive at Marlboro Pike,40.0,166.0
884,Old Alexandria Ferry Rd at Highland Meadows Dr,241.0,166.0
185,Ager Rd at 23rd Ave,167.0,166.0
605,Greenbelt Rd at Lakecrest Dr,102.0,164.0
8,1400 McCormick Dr,21.0,164.0
1240,Temple Hill Rd at Piscataway Rd,160.0,163.0
1276,Volta Ave at Rhode Island Ave,132.0,163.0
813,Mandan Rd at 7648 Mandan Rd,192.0,163.0
300,Benning Rd at Southern Ave,117.0,162.0
1278,Walker Mill Dr at Shady Glen Dr,143.0,162.0
708,Jericho Residences (Southbound),196.0,162.0
292,Belcrest Rd at Queens Chapel Rd,242.0,162.0
1069,Ritchie Rd at Truck Way,402.0,162.0
1239,Temple Hill Rd at Old Temple Hill Rd,159.0,162.0
370,Brinkley Rd at Kildare Ct,41.0,161.0
1074,Ritchie-Marlboro Rd & Sansbury Rd,119.0,161.0
248,Auth Rd at Carswell Ave,112.0,161.0
1063,Ritchie Rd at Overton Dr,107.0,160.0
229,Ardwick-Ardmore Rd at Preston St,20.0,159.0
1169,Southern Ave at Premisies 800 (Park Southern Apts),128.0,159.0
1139,Sheriff Rd at Village Green Dr,64.0,159.0
1195,St Barnabas Rd at Lime St,261.0,158.0
210,Allentown Rd at Waldran Dr,91.0,157.0
960,PALMER ROAD & INDIAN HEAD HIGHWAY,204.0,157.0
645,Hanover Pkwy at Greenway Center Dr,272.0,157.0
438,Central Ave at Rollins Ave,79.0,157.0
177,Addison Rd at James Farmer Way,107.0,156.0
615,Greenbrook Dr at Ora Glen Dr,187.0,156.0
1062,Ritchie Rd at Napier Dr,170.0,155.0
359,Brinkley Rd at Arborview Entrance,663.0,154.0
861,Nalley Rd at Green Willow Ct,202.0,153.0
936,Owens Rd at Wheeler Rd,75.0,153.0
29,28th Ave at Keith St,125.0,153.0
717,Kanawha St at 14th Ave,33.0,152.0
787,Lottsford Rd at Harry S. Truman,42.0,152.0
632,Hamilton St at 37th Ave,345.0,152.0
7,1380 Southern Ave,199.0,152.0
348,Brightseat Rd at Evarts St,783.0,150.0
491,Columbia Park Rd at Oregon Ave,73.0,150.0
803,MLK Jr Hwy at Greig St,91.0,149.0
458,Cheverly Ave at Columbia Park Rd,79.0,149.0
662,Hastings Dr at Hill Rd,25.0,148.0
1137,Sheriff Rd at Harvey Dr,106.0,148.0
1251,Toldeo Rd at Belcrest Rd,51.0,147.0
992,Pontiac St at 63rd Ave,62.0,146.0
767,Largo Rd at Eton Dr,126.0,146.0
583,Garrett A. Morgan Blvd at Rear Morgan Blvd Station,51.0,146.0
1121,Saint Barnabas Rd at Barrowfield Rd,91.0,145.0
503,County Rd at Belwood St,114.0,145.0
878,OXON HILL FRINGE PARK AND RIDE LOT AT BUS BAY F (Arrival),0.0,144.0
1101,Rollins Ave at District Ave,146.0,144.0
5,1301 McCormick Dr,216.0,143.0
634,Hamilton St at 38th St,88.0,143.0
544,East Capitol St at Old Central Ave,95.0,143.0
206,Allentown Rd at Perrie Ln,47.0,143.0
195,Allentown Rd at 5711 AFCU Allentown Rd,146.0,142.0
1095,Riverdale Rd at Tanglewood Dr,282.0,142.0
1245,Temple Hill Rd at Spring Ter,225.0,142.0
1151,Southern Ave Station Bay E,5284.0,142.0
1154,Southern Ave at 6th St SE,119.0,141.0
188,Ager Rd at Lancer Dr,74.0,141.0
127,8235 Ardwick-Ardmore Rd,104.0,140.0
349,Brightseat Rd at Girard St,91.0,139.0
251,Auth Rd at Gloria Dr,9.0,139.0
124,8201 Corporate Dr,155.0,139.0
415,Capitol Heights Blvd at Central Ave,91.0,138.0
